"Story","Title","Result","Date","Stability","Duration (s)"
"Macro pagos runner suite","Pago detarjetas","ERROR","2020-05-22T16:59:00.573-03:00[America/Buenos_Aires]","0.0","32.33"
"Macro pagos runner suite","Pago minimol de tarjeta cancelado","IGNORED","2020-05-26T16:04:22.323-03:00[America/Buenos_Aires]","0.0","0.29"
"Macro pagos runner suite","Pago minimol de tarjeta","SUCCESS","2020-05-26T16:04:23.04-03:00[America/Buenos_Aires]","0.0","65.19"
"Macro pagos runner suite","Pago de tarjeta otro importe cancelado","IGNORED","2020-05-27T16:21:04.989-03:00[America/Buenos_Aires]","0.0","0.18"
"Macro pagos runner suite","Pago total de tarjeta cancelado","SUCCESS","2020-06-19T16:14:29.093-03:00[America/Buenos_Aires]","0.0","67.42"
"Macro pagos runner suite","Pago minimo de tarjeta cancelado","SUCCESS","2020-06-19T16:14:29.434-03:00[America/Buenos_Aires]","0.0","78.35"
"Macro pagos runner suite","Pago minimo de tarjeta","ERROR","2020-06-19T16:14:30.035-03:00[America/Buenos_Aires]","0.0","20.14"
"Macro pagos runner suite","Pago targeta con otro importe","ERROR","2020-06-19T16:20:25.924-03:00[America/Buenos_Aires]","0.0","78.71"
"Macro pagos runner suite","Pago targeta con otro importe candelado","ERROR","2020-06-19T16:20:26.167-03:00[America/Buenos_Aires]","0.0","20.14"
"Macro pagos runner suite","Pagos","ERROR","2020-06-19T16:20:26.361-03:00[America/Buenos_Aires]","0.0","21.05"
"Macro pagos runner suite","Pago total de tarjeta","ERROR","2020-06-19T16:20:26.541-03:00[America/Buenos_Aires]","0.0","20.13"
"Macro pagos runner suite","T3 pago targeta con otro importe","SUCCESS","2020-06-19T16:28:04.284-03:00[America/Buenos_Aires]","0.0","60.35"
"Macro pagos runner suite","T2 pago targeta con otro importe candelado","ERROR","2020-06-19T16:28:05.469-03:00[America/Buenos_Aires]","0.0","20.15"
"Macro pagos runner suite","T0 pagos","ERROR","2020-06-19T17:02:00.028-03:00[America/Buenos_Aires]","0.0","52.79"
"Macro pagos runner suite","T1 pagos","SUCCESS","2020-07-23T15:07:37.715-03:00[America/Buenos_Aires]","0.0","68.71"
"Macro pagos runner suite","T2 pago targeta con otro importe","SUCCESS","2020-07-23T15:07:38.285-03:00[America/Buenos_Aires]","0.0","92.72"
"Macro pagos runner suite","T3 pago targeta con otro importe candelado","SUCCESS","2020-07-23T15:07:38.469-03:00[America/Buenos_Aires]","0.0","82.64"
"Macro pagos runner suite","T4 pago minimo de tarjeta cancelado","ERROR","2020-07-23T15:07:38.66-03:00[America/Buenos_Aires]","0.0","59.63"
"Macro pagos runner suite","T5 pago minimo de tarjeta","ERROR","2020-07-23T15:07:38.85-03:00[America/Buenos_Aires]","0.0","20.21"
"Macro pagos runner suite","T6 pago total de tarjeta","ERROR","2020-07-23T15:07:39.074-03:00[America/Buenos_Aires]","0.0","20.21"
"Macro pagos runner suite","T7 pago total de tarjeta cancelado","ERROR","2020-07-23T15:07:39.29-03:00[America/Buenos_Aires]","0.0","20.17"
